332,699,924,0,622,  1416, 11148, -9416,  -459,  -102,   -32
333,699,918,0,630,  1196, 11104, -9480,  -577,  -261,    31
328,699,912,0,618,  1544, 11272, -9272,  -514,  -337,   170
330,699,915,0,626,  1320, 11128, -9564,  -284,  -357,   -66
345,699,910,0,612,  1352, 11240, -9352,  -496,  -412,   -61
329,699,918,0,634,  1144, 11160, -9380,  -524,  -340,    71
344,698,926,0,628,  1476, 11020, -9400,  -607,  -194,    56
392,696,924,0,635,  1136, 11244, -9296,  -444,    -2,   -84
351,692,921,0,629,  1080, 11152, -9432,  -521,  -168,   139
354,668,916,0,626,  1228, 11252, -9452,  -599,   123,    76
376,671,903,0,630,  1168, 11224, -9188,  -512,   210,  -109
294,683,892,0,629,   856, 11620, -9496,   -41,  -356,   680
320,700,885,0,627,  2036, 10804, -9808,  -537,   284,  -548
303,700,903,0,644,   776, 11228, -8920,  -788,   -18,  -868
332,688,905,0,649,   512, 11132, -9520,  -295,  -138,   315
349,679,907,0,640,  1112, 11300, -9136,  -700,  -184,   498
358,684,897,0,637,  1416, 11216, -9548,  -269,    92,   486
362,650,891,0,625,  1104, 11576, -9276,  -331,   394,   188
